strain	accession	site	reads	flu	ct	date
A/Kenya/CDC-Nyeri-082/2016	EPI_ISL_428982	Nyeri	"386,698"	"367,396"	31	04-Jan-16
A/Kenya/CDC-Nyeri-083/2016	EPI_ISL_428983	Nyeri	"364,278"	"281,251"	23.9	23-Aug-16
A/Kenya/CDC-Nyeri-084/2016	EPI_ISL_428984	Nyeri	"357,839"	"197,733"	23	30-Aug-16
A/Kenya/CDC-Nyeri-001/2018	EPI_ISL_428985	Nyeri	"359,216"	"267,976"	24.88	28-May-18
A/Kenya/CDC-Nyeri-002/2018	EPI_ISL_428986	Nyeri	"374,328"	"283,519"	26.91	25-Jun-18
A/Kenya/CDC-Nyeri-004/2018	EPI_ISL_428987	Nyeri	"445,883"	"307,349"	24.4	09-Apr-18
A/Kenya/CDC-Nyeri-005/2018	EPI_ISL_428988	Nyeri	"337,973"	"250,491"	22.91	18-Jun-18
A/Kenya/CDC-Nyeri-008/2018	EPI_ISL_428989	Nyeri	"250,712"	"192,876"	23.62	11-Jun-18
A/Kenya/CDC-Siaya-001/2009	EPI_ISL_429224	Siaya	"482,013"	"117,848"	30.18	16-Nov-09
A/Kenya/CDC-Siaya-002/2009	EPI_ISL_429225	Siaya	"580,801"	"475,818"	28.09	07-Oct-09
A/Kenya/CDC-Siaya-004/2009	EPI_ISL_429237	Siaya	"612,685"	"23,782"	28.28	14-Oct-09
A/Kenya/CDC-Siaya-006/2009	EPI_ISL_429238	Siaya	"702,636"	"18,810"	30.1	19-Oct-09
A/Kenya/CDC-Siaya-007/2009	EPI_ISL_429240	Siaya	"344,347"	"279,618"	21.41	19-Oct-09
A/Kenya/CDC-Siaya-008/2009	EPI_ISL_429241	Siaya	"488,879"	"15,495"	25.36	18-Oct-09
A/Kenya/CDC-Siaya-009/2009	EPI_ISL_429242	Siaya	"482,326"	"274,009"	28.88	21-Oct-09
A/Kenya/CDC-Siaya-011/2009	EPI_ISL_429243	Siaya	"548,392"	"502,827"	22.15	10-Sep-09
A/Kenya/CDC-Siaya-012/2009	EPI_ISL_429244	Siaya	"468,523"	"272,265"	25.76	29-Sep-09
A/Kenya/CDC-Siaya-013/2009	EPI_ISL_429245	Siaya	"451,523"	"243,549"	30.02	30-Sep-09
A/Kenya/CDC-Siaya-015/2009	EPI_ISL_429246	Siaya	"511,902"	"154,018"	28.5	16-Nov-09
A/Kenya/CDC-Siaya-018/2010	EPI_ISL_429247	Siaya	"561,527"	"282,027"	29.21	19-Feb-10
A/Kenya/CDC-Siaya-019/2010	EPI_ISL_429248	Siaya	"586,730"	"131,485"	27.27	05-Nov-10
A/Kenya/CDC-Siaya-020/2010	EPI_ISL_429252	Siaya	"684,756"	"626,658"	22.09	16-Nov-10
A/Kenya/CDC-Siaya-021/2010	EPI_ISL_429253	Siaya	"207,735"	"160,610"	21.82	18-Nov-10
A/Kenya/CDC-Siaya-022/2010	EPI_ISL_429260	Siaya	"566,375"	"171,772"	23.72	24-Nov-10
A/Kenya/CDC-Siaya-023/2010	EPI_ISL_429261	Siaya	"427,217"	"283,526"	23.65	28-Nov-10
A/Kenya/CDC-Siaya-025/2011	EPI_ISL_429319	Siaya	"457,490"	"438,053"	19.54	25-Jan-11
A/Kenya/CDC-Siaya-026/2011	EPI_ISL_429591	Siaya	"386,638"	"110,628"	26.07	08-Feb-11
A/Kenya/CDC-Siaya-027/2011	EPI_ISL_429592	Siaya	"759,471"	"31,734"	29.43	10-Feb-11
